"numOfDistInd", "time1", "time2", "time3"
2, 2, 2, 2
105, 75, 75, 78
208, 321, 291, 310
312, 715, 707, 702
415, 1305, 1331, 1360
518, 2222, 2153, 2036
622, 3358, 3339, 3340
725, 4497, 4512, 4535
829, 5334, 5346, 5370
932, 7131, 7206, 7226
1035, 9959, 9952, 9883
1139, 10739, 10767, 10809
1242, 13760, 13436, 13357
1345, 17394, 17383, 17280
1449, 34517, 34589, 33852
1552, 38738, 41956, 40609
1656, 25179, 24768, 23932
1759, 33496, 33588, 31733
1862, 32858, 32471, 32212
1966, 36632, 37399, 36817
2069, 42572, 40864, 41190
2172, 46070, 46300, 46412
2276, 57720, 57301, 56395
2379, 58474, 57355, 59391
2483, 117807, 115452, 113591
2586, 75283, 74232, 74734
2689, 82090, 84443, 85804
2793, 97685, 97969, 99592
2896, 99763, 99342, 101800
3000, 113068, 112548, 112226
